# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = garch_garch11_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 1 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = garch-garch11.data.R
# init = 2 (Default)
# random
#   seed = 1569824
# output
#   file = 3.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha0,alpha1,beta1
-270.426,0.97206,0.149564,3,15,0,274.484,5.02179,0.906318,0.739978,0.227838
-270.426,2.28617e-07,0.258593,3,10,1,272.63,5.02179,0.906318,0.739978,0.227838
-275.779,0.999755,0.0250434,6,127,0,278.347,5.23816,1.69939,0.949141,0.0485404
-276.951,0.981173,0.0473148,6,95,0,280.505,4.83275,0.328919,0.343256,0.654933
-272.536,0.904013,0.083845,4,15,0,279.507,5.03454,0.509271,0.430564,0.566892
-271.263,0.982285,0.117863,4,15,0,273.437,5.11028,0.604194,0.53145,0.466035
-272.477,0.14473,0.20608,4,15,0,275.267,5.14566,1.74975,0.737516,0.26023
-267.275,0.999693,0.0332852,7,135,0,273.673,5.16229,1.20652,0.589407,0.308841
-267.854,0.991311,0.0612185,4,31,0,268.678,4.93337,1.57639,0.424384,0.392274
-267.949,0.941404,0.108886,4,15,0,270.449,4.95261,1.83356,0.38085,0.324101
-268.26,0.924886,0.167127,3,11,0,269.873,5.06372,1.99728,0.753737,0.154033
-268.26,0.0472489,0.243437,4,19,0,268.953,5.06372,1.99728,0.753737,0.154033
-267.506,0.998926,0.0324955,7,127,0,269.652,5.12858,1.31194,0.636315,0.298938
-268.666,0.961617,0.0581994,5,63,0,271.093,4.8651,2.34418,0.455392,0.201999
-268.466,0.997988,0.0934518,2,7,0,269.713,5.01202,2.31174,0.396495,0.212135
-267.762,0.826851,0.163977,4,15,0,269.507,4.95479,1.70646,0.680362,0.194333
-268.28,0.955665,0.181816,4,15,0,269.013,4.96856,1.63315,0.686851,0.254304
-268.28,0.112025,0.281627,2,3,0,270.315,4.96856,1.63315,0.686851,0.254304
-270.137,0.971599,0.0487928,3,15,0,271.119,5.25304,1.88207,0.743685,0.211823
-269.134,0.954003,0.0789856,4,15,0,272.276,5.00603,1.93015,0.742812,0.209803
-267.364,0.997621,0.121343,3,15,0,270.483,5.03694,0.961767,0.59148,0.344629
-267.364,0.100714,0.206793,3,11,0,269.583,5.03694,0.961767,0.59148,0.344629
-268.255,0.999975,0.0367672,6,63,0,268.493,5.04791,0.868724,0.541687,0.431516
-267.044,0.99685,0.0630685,5,63,0,269.307,5.04557,1.54951,0.623287,0.207692
-267.423,0.991921,0.106494,3,7,0,267.546,5.06434,1.85144,0.688392,0.180529
-267.127,0.924449,0.176297,4,15,0,267.899,4.9873,1.46209,0.63234,0.246966
-267.127,0.027634,0.245761,2,7,0,270.19,4.9873,1.46209,0.63234,0.246966
-267.912,0.985775,0.0388399,4,31,0,269.329,5.11827,1.98948,0.676849,0.201353
-267.784,0.984507,0.0631021,4,15,0,269.997,4.9585,2.03187,0.618855,0.215701
-270.768,0.828191,0.101515,4,27,0,271.965,4.75597,1.49221,0.641473,0.30176
-269.458,0.9755,0.111959,3,7,0,271.361,4.97128,1.23395,0.762833,0.194711
-269.563,0.482423,0.174481,2,3,0,271.204,4.8781,1.52559,0.737948,0.214277
-269.762,0.995565,0.0851972,3,7,0,270.042,5.29758,1.34986,0.741904,0.203515
-270.099,0.848814,0.138518,2,7,0,272.014,4.9861,1.30154,0.800595,0.155873
-269.463,0.834041,0.159404,3,15,0,272.162,4.82511,1.14539,0.629798,0.303285
-266.953,0.893976,0.176979,2,7,0,269.757,5.01201,1.01034,0.472931,0.415328
-267.396,0.800248,0.224961,3,15,0,268.091,4.99177,0.918835,0.439186,0.46418
-266.967,0.711183,0.23048,3,15,0,268.819,5.07663,1.4316,0.462494,0.316917
-266.923,0.347334,0.193109,3,15,0,268.331,5.04411,1.09928,0.575193,0.330435
-267.194,0.993615,0.0717647,5,47,0,267.77,5.04722,1.5446,0.648747,0.256272
-267.67,0.940356,0.113778,3,15,0,269.765,5.16255,1.45282,0.696918,0.222895
-268.849,0.669949,0.159426,3,7,0,270.693,5.06201,1.86172,0.787395,0.168286
-267.854,0.971824,0.122718,3,7,0,269.175,5.08532,1.48457,0.733987,0.210329
-268.782,0.884792,0.183351,3,15,0,269.991,5.11159,1.77866,0.810847,0.126415
-268.782,0.000468029,0.225628,3,15,0,271.127,5.11159,1.77866,0.810847,0.126415
-267.938,0.992534,0.040929,5,31,0,269.74,5.14902,1.37319,0.728065,0.1946
-270.152,0.985919,0.0638711,5,39,0,271.404,5.09534,1.52862,0.76642,0.0922176
-269.393,0.99859,0.0977704,4,15,0,270.696,5.13853,1.72293,0.426113,0.205993
-268.847,0.990938,0.153004,4,15,0,270.59,4.98682,2.23798,0.708617,0.0923644
-269.625,0.383474,0.234415,3,15,0,270.616,5.13634,2.72165,0.715488,0.112316
-267.745,0.999985,0.0996363,5,31,0,270.136,5.09659,1.2629,0.611716,0.338238
-267.012,0.998988,0.155178,4,31,0,269.562,4.99401,1.74895,0.566374,0.217191
-267.012,0.145326,0.24002,2,7,0,274.108,4.99401,1.74895,0.566374,0.217191
-266.981,0.999817,0.0631459,5,31,0,267.468,5.0688,1.64763,0.637857,0.205616
-268.134,0.982048,0.0978294,5,31,0,268.598,5.08821,1.06019,0.690867,0.269133
-268.871,0.991183,0.145469,4,15,0,269.306,5.03782,0.655916,0.563341,0.413512
-268.871,0.0123612,0.219457,3,7,0,271.341,5.03782,0.655916,0.563341,0.413512
-268.287,0.997106,0.0453146,4,15,0,269.57,5.03786,0.930801,0.525867,0.442723
-267.734,0.971195,0.069289,5,31,0,269.691,4.91866,1.07391,0.494315,0.425668
-267.958,0.97137,0.100143,2,7,0,268.816,4.99461,1.17348,0.470532,0.446872
-267.612,0.980187,0.144246,3,7,0,268.498,5.12464,0.874893,0.509973,0.373697
-267.203,0.474756,0.210675,2,7,0,269.582,5.12271,1.30272,0.573453,0.33348
-268.151,0.998335,0.112799,4,15,0,268.557,5.04322,1.42013,0.715024,0.248628
-271.261,0.206429,0.170288,4,31,0,277.509,4.93709,3.63184,0.523334,0.0652549
-272.737,0.959149,0.0542634,4,31,0,276.717,4.76392,2.58156,0.386727,0.0968645
-270.209,1,0.0758451,3,15,0,273.702,5.22112,2.86497,0.629352,0.060369
-268.637,0.982347,0.114389,3,11,0,270.5,5.01654,2.3265,0.598918,0.0890961
-269.478,0.646578,0.166089,4,27,0,271.379,5.06362,0.554274,0.551959,0.407638
-268.105,0.996294,0.12599,3,7,0,270.082,5.06914,1.08885,0.572964,0.392883
-268.545,0.80158,0.187133,3,7,0,270.121,5.1055,0.709889,0.485971,0.478369
-268.545,0.00745978,0.191082,2,3,0,274.961,5.1055,0.709889,0.485971,0.478369
-268.902,0.995895,0.0432325,6,63,0,269.703,4.99043,1.48677,0.757214,0.214712
-268.256,0.999583,0.0641147,5,31,0,269.429,5.15268,0.998068,0.632538,0.336384
-268.363,0.965167,0.095406,2,3,0,269.392,5.08391,0.922622,0.657967,0.313263
-268.453,0.7854,0.132638,2,3,0,269.322,5.01657,0.899985,0.642431,0.330369
-269.272,0.914286,0.131501,3,15,0,269.866,4.89619,0.94179,0.564686,0.41475
-268.75,0.976764,0.165617,4,27,0,270.595,4.93361,0.750664,0.567934,0.388722
-268.75,0.00566356,0.233649,2,3,0,269.531,4.93361,0.750664,0.567934,0.388722
-267.22,0.986054,0.0549979,5,47,0,270.738,5.05811,1.49983,0.654062,0.258813
-266.873,0.984364,0.0790476,4,31,0,268.364,5.04344,1.00937,0.499573,0.383736
-269.128,0.815382,0.112915,3,11,0,269.975,5.22706,1.73036,0.745632,0.202869
-268.35,0.963624,0.946172,2,7,0,270.065,4.97837,1.47035,0.737738,0.208916
-268.35,0,12.7401,0,1,1,269.511,4.97837,1.47035,0.737738,0.208916
-268.35,3.55252e-27,2.1113,1,1,0,271.645,4.97837,1.47035,0.737738,0.208916
-267.279,0.996002,0.205924,4,31,0,270.531,4.99763,1.64929,0.418758,0.336018
-266.998,0.995877,0.273441,4,31,0,268.521,5.03953,1.18194,0.607901,0.293141
-267.091,0.993426,0.42028,4,15,0,267.751,5.05625,1.5538,0.458197,0.348999
-266.976,0.893672,0.698648,2,7,0,268.5,4.96476,1.12003,0.477968,0.370838
-267.865,0.175109,0.895599,2,3,0,270.154,4.97591,1.3303,0.547647,0.379956
-267.655,0.995507,0.122841,5,31,0,271.08,4.98476,0.828837,0.470513,0.462707
-269.555,0.992116,0.223023,4,15,0,272.063,4.87498,2.6211,0.382178,0.226249
-267.743,0.999649,0.407319,3,7,0,270.087,5.01514,1.36715,0.356869,0.412118
-267.489,0.299932,0.768002,3,7,0,270.608,4.99567,2.14438,0.489924,0.224583
-269.649,0.975934,0.16022,5,39,0,271.789,5.14561,1.69429,0.848067,0.115499
-269.855,0.963818,0.283206,3,7,0,271.217,5.15766,1.82997,0.855278,0.0930325
-269.223,0.773593,0.481176,4,15,0,272.28,5.07442,1.67494,0.382031,0.432984
-270.086,0.962304,0.451781,3,15,0,272.425,5.13757,0.746085,0.677654,0.280795
-270.996,0.906685,0.760265,2,3,0,272.138,5.0573,1.23687,0.562918,0.170604
-267.108,1,1.07294,2,3,0,269.989,5.01933,1.6785,0.596684,0.268921
-268.913,0.333333,2.00047,1,3,1,269.014,5.02887,1.51622,0.76084,0.215993
-268.399,0.992944,0.498072,4,15,0,269.548,5.05461,1.40229,0.605598,0.177298
-267.279,0.732932,0.90705,3,15,0,268.723,5.06436,1.02605,0.567573,0.373527
-268.738,0.668005,0.758629,2,3,0,270.834,4.9716,2.62868,0.597388,0.158823
-268.688,0.95678,0.526314,3,7,0,270.133,4.99525,0.804477,0.624035,0.336692
-268.467,0.942212,0.850798,2,7,0,269.192,4.94434,2.0619,0.642,0.121807
-268.467,0.440527,1.3084,1,3,0,269.846,4.94434,2.0619,0.642,0.121807
-268.496,0.961483,0.476462,3,15,0,272.745,5.03031,2.03106,0.363365,0.27452
-270.731,0.363605,0.77225,3,15,0,272.783,5.23041,0.821979,0.709881,0.261603
-268.935,1,0.231568,4,15,0,271.103,4.98126,2.75338,0.469754,0.114821
-267.394,0.986013,0.417055,3,7,0,270.183,4.9212,1.36558,0.456973,0.391294
-267.145,0.915689,0.7156,3,7,0,268.154,5.15696,1.44788,0.518879,0.297518
-266.892,0.704802,1.00371,3,7,0,267.502,5.10264,1.23737,0.486885,0.366567
-267.8,0.758262,0.789536,2,3,0,268.246,5.16512,0.900097,0.479756,0.431061
-267.3,1,0.720073,3,7,0,268.092,5.09634,0.915653,0.456669,0.437727
-267.697,0.324147,1.25466,2,3,0,268.263,5.17604,1.21876,0.505861,0.385164
-270.073,0.954886,0.361272,4,15,0,272.58,5.13907,1.432,0.699457,0.291684
-272.002,0.943077,0.55715,3,11,0,273.602,5.13938,0.551437,0.280159,0.607247
-270.397,0.186961,0.827449,3,7,0,274.834,5.01698,0.512199,0.338684,0.596767
-271.432,0.995274,0.172517,5,31,0,274.693,4.84903,2.7366,0.746407,0.122272
-270.954,0.997571,0.293787,3,7,0,272.48,4.81239,2.06696,0.749784,0.179887
-270.424,0.998013,0.499125,4,15,0,271.796,5.24313,1.96544,0.595854,0.0839706
-269.155,0.790514,0.842106,2,3,0,271.098,5.27656,1.08078,0.608572,0.277206
-267.232,0.970591,0.837196,2,3,0,269.543,5.07351,1.06308,0.53652,0.315735
-267.232,0.0743337,1.30385,2,3,0,268.475,5.07351,1.06308,0.53652,0.315735
-268.972,0.93502,0.219597,4,15,0,270.621,5.16887,1.72318,0.729313,0.229013
-269.108,0.994534,0.314345,4,15,0,270.449,4.94694,0.689375,0.568586,0.382942
-269.519,0.944476,0.517577,3,15,0,271.722,5.26071,0.738854,0.508732,0.426539
-269.786,0.301726,0.749549,3,7,0,274.29,5.26667,2.45986,0.571138,0.0953547
-268.105,0.999665,0.23008,5,31,0,270.096,5.06924,0.800033,0.482319,0.473014
-267.505,0.985589,0.380263,2,7,0,269.097,5.06967,1.02947,0.505881,0.426891
-268.217,0.948262,0.603639,3,7,0,269.245,5.16225,1.52176,0.465728,0.382929
-266.961,0.992845,0.872031,2,3,0,268.513,5.09231,1.37532,0.458118,0.353346
-266.961,0,12.3825,0,1,1,267.717,5.09231,1.37532,0.458118,0.353346
-266.961,1.47729e-152,2.0846,1,1,0,271.005,5.09231,1.37532,0.458118,0.353346
-267.714,0.987152,0.205156,3,7,0,267.907,5.07954,1.59529,0.414534,0.29385
-267.909,0.989556,0.267116,3,7,0,268.887,5.06641,2.12525,0.427868,0.228419
-270.366,0.952052,0.403916,3,7,0,271.283,4.95824,1.49253,0.788162,0.119557
-271.296,0.962798,0.592223,3,7,0,271.597,5.13816,2.40578,0.304256,0.345819
-268.692,0.145903,0.940119,2,3,0,275.327,4.97802,1.97052,0.755442,0.164397
-269.216,0.98616,0.117787,4,31,0,273.246,5.05369,0.525665,0.472283,0.492413
-267.468,0.998888,0.207666,4,15,0,270.018,5.04616,1.21729,0.53473,0.271096
-268.128,0.970608,0.387488,3,7,0,271.227,4.91373,1.6755,0.365489,0.370636
-267.332,0.563462,0.666549,2,3,0,269.371,5.04365,1.54856,0.637562,0.274284
-268.123,0.991257,0.318924,2,7,0,269.15,5.06741,0.958877,0.575403,0.397225
-269.23,0.915376,0.589466,3,7,0,270.269,5.14296,0.84055,0.617495,0.370437
-268.769,0.611123,0.857275,2,3,0,271.409,5.11011,0.978665,0.585979,0.396543
-269.214,0.981927,0.484527,2,7,0,269.677,5.09483,1.26225,0.700153,0.288795
-267.363,0.664521,0.865208,2,3,0,269.697,4.97991,1.23909,0.468112,0.318824
-268.024,0.822763,0.581898,1,3,0,270.986,4.85364,1.60498,0.473525,0.347405
-267.399,0.985866,0.636689,3,7,0,268.952,4.91911,1.38731,0.573478,0.313679
-267.399,6.76115e-09,1.13686,1,3,1,269.664,4.91911,1.38731,0.573478,0.313679
-268.813,0.995809,0.106445,5,31,0,270.137,5.019,1.71358,0.344682,0.306187
-268.33,0.971645,0.197033,4,15,0,271.229,5.10924,1.94696,0.387467,0.276255
-268.579,0.87825,0.336496,2,7,0,272.494,5.17032,0.991323,0.668524,0.300852
-274.564,0.860692,0.434294,3,7,0,277.122,4.67622,2.03507,0.720136,0.247992
-271.064,0.996138,0.530715,3,7,0,276.131,5.35608,0.873025,0.580636,0.350391
-272.159,0.781494,0.951962,2,3,0,274.487,5.05095,3.91922,0.399802,0.0956249
-269.853,1,0.920559,1,1,0,271.405,5.06677,2.74682,0.354647,0.176914
-269.853,0.474233,1.64554,1,1,0,270.193,5.06677,2.74682,0.354647,0.176914
-269.915,0.71546,0.673609,3,7,0,272.676,5.33508,1.18711,0.496256,0.365799
-271.787,0.970018,0.54494,3,7,0,272.955,5.33943,2.74451,0.710257,0.114719
-269.938,1,0.888374,3,7,0,271.992,4.73047,1.2671,0.515326,0.370349
-269.938,0.112228,1.55847,1,1,0,270.527,4.73047,1.2671,0.515326,0.370349
-268.38,0.99801,0.247865,3,7,0,270.617,4.86914,1.03534,0.572435,0.357984
-268.721,0.988584,0.433038,4,15,0,269.955,4.94182,0.878562,0.330491,0.49434
-268.721,0.0319458,0.731259,3,7,0,272.753,4.94182,0.878562,0.330491,0.49434
-267.405,0.999998,0.0989851,4,15,0,269.164,4.91808,1.18444,0.411045,0.412526
-269.227,0.982037,0.172762,5,31,0,269.643,5.24512,1.90504,0.782589,0.129468
-267.611,0.999929,0.285316,4,15,0,270.569,4.93294,1.43083,0.559515,0.243601
-266.917,0.995634,0.489513,3,7,0,268.144,5.04931,1.35698,0.625116,0.257625
-267.92,0.958319,0.823838,2,3,0,268.484,4.87683,1.16569,0.412036,0.446774
-267.92,0.1102,1.25166,2,3,0,269.581,4.87683,1.16569,0.412036,0.446774
-267.199,0.998288,0.224649,4,15,0,268.485,4.9842,1.84442,0.586758,0.195605
-267.541,0.946108,0.378287,3,15,0,269.987,5.05526,1.84569,0.540084,0.172762
-267.135,0.898301,0.555554,2,3,0,268.14,5.06794,1.93689,0.615973,0.18626
-266.879,0.996596,0.721415,3,7,0,267.322,5.10719,1.5542,0.533424,0.292242
-266.879,0.098519,1.18612,2,3,0,269.618,5.10719,1.5542,0.533424,0.292242
-267.201,0.992303,0.219917,4,15,0,268.278,4.95616,1.25997,0.557769,0.347667
-266.849,0.954237,0.358277,2,7,0,270.406,5.02785,1.23602,0.480179,0.386331
-270.298,0.866007,0.529335,3,7,0,271.535,5.302,1.70952,0.750579,0.20537
-268.824,0.645755,0.63093,3,7,0,276.285,4.95872,1.42204,0.636797,0.329134
-270.01,0.986318,0.446388,3,7,0,270.872,5.24033,1.4063,0.707793,0.273712
-270.156,0.845219,0.70421,3,7,0,273.31,4.98465,1.23756,0.407991,0.283507
-270.823,0.922569,0.79528,3,7,0,271.541,4.76118,1.37623,0.642943,0.312158
-270.823,0.176105,1.07216,2,3,0,273.397,4.76118,1.37623,0.642943,0.312158
-267.264,1,0.259328,3,7,0,271.178,4.94109,1.54043,0.585724,0.284582
-268.122,0.980273,0.41849,3,7,0,269.124,5.05674,1.66942,0.759727,0.146913
-269.389,0.862924,0.641879,3,7,0,270.973,5.07549,1.9368,0.351992,0.247445
-268.504,1,0.751676,2,3,0,269.65,4.96627,2.29502,0.497208,0.265276
-268.504,1.901e-05,1.19422,2,3,0,269.169,4.96627,2.29502,0.497208,0.265276
-268.553,0.995462,0.203598,4,15,0,269.906,5.1538,0.672162,0.461688,0.452448
-269.237,0.975949,0.320907,2,3,0,269.644,5.18043,0.627679,0.457103,0.451229
-269.088,0.992008,0.481903,3,7,0,269.816,4.96681,2.27307,0.630949,0.23199
-267.605,0.813843,0.745917,2,3,0,270.221,5.02549,1.36172,0.661377,0.204891
-268.017,0.968707,0.779708,3,7,0,268.981,5.13766,1.72325,0.674233,0.132981
-268.017,0.218362,1.13853,2,3,0,270.114,5.13766,1.72325,0.674233,0.132981
-268.283,0.996818,0.329811,3,7,0,268.852,5.19199,1.57518,0.721431,0.147675
-269.411,0.817135,0.51164,2,3,0,271.463,5.20014,1.26258,0.769799,0.156473
-269.237,0.980876,0.539021,3,7,0,270.959,5.12694,1.78372,0.81871,0.0973111
-268.955,0.99497,0.80228,3,7,0,269.527,4.99054,1.43335,0.311303,0.47564
-268.955,0.366242,1.22465,1,3,0,275.544,4.99054,1.43335,0.311303,0.47564
-268.334,0.995014,0.499537,3,7,0,269.765,4.98117,1.2021,0.339941,0.492863
-268.334,1.54607e-11,0.760988,1,1,0,272.037,4.98117,1.2021,0.339941,0.492863
-268.572,0.99663,0.147199,4,31,0,269.821,4.99003,1.74964,0.339394,0.328097
-268.585,0.994114,0.2254,4,15,0,269.712,5.05794,2.09789,0.52818,0.295545
-267.916,0.995214,0.341832,3,7,0,269.507,5.08182,1.30873,0.368094,0.387338
-270.539,0.415174,0.517318,3,7,0,271.661,5.1357,1.81262,0.836043,0.154152
-270.583,0.999699,0.240509,3,7,0,270.66,5.14216,1.83917,0.838385,0.151382
-267.341,0.990699,0.366353,3,7,0,271.167,5.0435,1.12617,0.554173,0.382353
-268.221,1,0.545721,2,3,0,268.765,5.01978,1.05922,0.405664,0.369807
-268.524,0.673199,0.824854,3,7,0,268.619,5.08951,1.66813,0.728209,0.231931
-267.95,0.929148,0.648501,3,7,0,269.627,5.06629,1.32262,0.682762,0.28007
-269.301,0.74179,0.847818,2,3,0,271.048,5.0829,0.723184,0.545744,0.443125
-275.354,0.448025,0.7645,2,7,0,275.842,4.83789,2.7802,0.850068,0.137721
-268.469,1,0.388059,3,7,0,275.993,4.99208,1.1397,0.626268,0.35046
-269.454,0.747294,0.581598,3,7,0,270.899,5.11186,0.848449,0.690892,0.290362
-268.029,0.93493,0.531701,3,7,0,271.421,5.07893,1.18584,0.615571,0.350099
-268.733,0.937445,0.699013,3,7,0,269.783,5.08723,1.43496,0.775326,0.198314
-268.931,0.895769,0.921073,2,3,0,269.96,5.16998,1.45376,0.72117,0.252965
-268.931,0.00218553,1.11775,1,3,0,271.485,5.16998,1.45376,0.72117,0.252965
-268.152,0.992873,0.246604,3,15,0,269.73,5.01756,1.37306,0.707444,0.255746
-268.247,0.993656,0.361266,3,11,0,268.764,5.06894,1.58273,0.728432,0.230127
-269.573,0.870395,0.528206,3,7,0,271.078,5.17049,1.0582,0.689693,0.300339
-270.585,0.959447,0.610426,2,3,0,271.684,5.21258,2.08368,0.796975,0.172562
-269.937,0.978578,0.832368,3,7,0,271.202,4.98022,0.934394,0.514777,0.473105
-269.937,0.0134586,1.17303,2,6,1,273.125,4.98022,0.934394,0.514777,0.473105
-270.683,0.961214,0.274698,3,15,0,274.273,5.21192,2.14747,0.861342,0.104053
-271.267,0.999378,0.375532,3,7,0,272.334,5.26231,2.14664,0.861523,0.107661
-271.32,0.990511,0.549268,3,7,0,273.44,5.19844,1.89401,0.885338,0.102261
-271.441,0.612371,0.787887,2,7,0,276.061,5.19086,1.75464,0.748959,0.24401
-270.231,0.993219,0.564952,3,7,0,271.871,5.07278,1.24267,0.731502,0.26446
-271.974,0.999046,0.405905,4,15,0,272.838,5.05394,0.802026,0.536903,0.462182
-271.974,8.65477e-82,5.82903,1,1,0,276.275,5.05394,0.802026,0.536903,0.462182
-273.256,0.948537,0.984606,2,3,0,273.857,5.21178,0.956671,0.59185,0.407609
-273.256,9.69323e-05,1.21579,2,6,1,276.108,5.21178,0.956671,0.59185,0.407609
-273.416,0.999518,0.113369,5,31,0,274.017,5.19526,0.808416,0.531287,0.468098
-271.964,0.998144,0.175889,4,15,0,274.511,5.05494,0.819245,0.62543,0.373946
-269.294,0.966757,0.296444,5,31,0,276.603,5.14636,0.8127,0.641021,0.283319
-272.149,0.874382,0.476997,2,3,0,273.593,5.12566,0.811866,0.657166,0.214207
-272.884,1,0.590281,1,1,0,273.314,5.15245,0.823825,0.709693,0.184902
-268.524,0.143286,1.09977,2,7,0,274.9,4.9208,2.07886,0.547654,0.139477
-269.555,0.999752,0.137597,4,15,0,270.557,4.86703,2.14222,0.676497,0.115898
-269.181,0.969658,0.259595,3,15,0,273.149,5.28964,1.0619,0.551406,0.367086
-269.52,0.972474,0.446609,3,7,0,272.101,5.13747,0.610573,0.521663,0.460899
-269.52,0.0964118,0.77448,2,3,0,271.793,5.13747,0.610573,0.521663,0.460899
-272.166,0.996753,0.0871355,5,31,0,273.264,5.32308,0.553633,0.474903,0.485335
-270.043,0.991986,0.164236,4,15,0,273.969,5.21604,0.714304,0.634573,0.339034
-270.223,0.969312,0.303156,3,7,0,272.802,5.21298,0.64725,0.611664,0.350264
-267.81,0.790245,0.518299,3,7,0,270.674,5.08872,0.819394,0.404191,0.477272
-271.689,0.620676,0.511301,2,3,0,272.787,4.93718,0.754846,0.251523,0.641585
-267.888,1,0.303236,3,7,0,272.586,4.96565,0.78848,0.424659,0.44962
-267.191,0.982952,0.56235,2,3,0,268.383,5.02304,1.00194,0.550297,0.383334
-268.552,0.166212,0.981954,2,3,0,271.464,5.02701,2.47979,0.527389,0.102036
-268.394,0.978623,0.155025,5,31,0,270.42,4.95341,1.9358,0.555229,0.301371
-268.384,0.993364,0.267883,4,15,0,270.462,4.90994,1.1558,0.646732,0.297334
-267.417,0.999253,0.478655,2,3,0,268.474,4.93878,1.16072,0.584241,0.313011
-267.736,0.291759,0.861375,2,3,0,268.377,5.03593,1.359,0.701286,0.245953
-268.684,0.976867,0.206852,4,15,0,273.307,5.11636,1.66376,0.486091,0.186517
-268.634,0.988604,0.348646,3,7,0,270.174,5.17055,1.49055,0.644724,0.305474
-269.342,0.951349,0.601878,2,3,0,269.823,5.13204,1.54291,0.595033,0.355733
-268.602,0.685547,0.928942,2,7,0,269.66,5.03943,1.04217,0.625351,0.358197
-269.216,0.71229,0.687382,2,7,0,269.831,5.01971,1.41128,0.579352,0.383668
-267.96,0.287297,0.549685,3,7,0,272.228,5.08818,1.48646,0.459135,0.401045
-268.136,0.998145,0.140419,4,15,0,269.189,5.17951,1.43791,0.591311,0.328493
-268.565,0.989885,0.24502,3,15,0,271.84,5.08917,2.37542,0.678953,0.165928
